560	0.00045134	5.01E-06	2	0.00045229	5.71E-06	1.9	0.00045047	7.84E-06	1.9
570	0.00044842	5.05E-06	2	0.00044935	5.72E-06	1.9	0.00044757	7.79E-06	1.9
580	0.00044552	5.09E-06	2	0.00044643	5.74E-06	1.9	0.00044468	7.74E-06	1.9
590	0.00044263	5.13E-06	2	0.00044353	5.76E-06	1.9	0.00044181	7.70E-06	1.9
600	0.00043977	5.18E-06	2	0.00044065	5.78E-06	1.9	0.00043896	7.65E-06	1.9
610	0.00043692	5.22E-06	2	0.00043779	5.80E-06	1.9	0.00043612	7.61E-06	1.9
620	0.0004341	5.26E-06	2	0.00043495	5.82E-06	1.9	0.00043331	7.57E-06	1.9
630	0.00043129	5.31E-06	2	0.00043213	5.84E-06	1.9	0.00043051	7.53E-06	1.9
640	0.0004285	5.35E-06	2	0.00042932	5.87E-06	1.9	0.00042773	7.50E-06	1.9
650	0.00042573	5.39E-06	2	0.00042654	5.89E-06	1.9	0.00042497	7.46E-06	1.9
660	0.00042297	5.43E-06	2	0.00042377	5.91E-06	1.9	0.00042223	7.43E-06	1.9
670	0.00042024	5.47E-06	2	0.00042102	5.93E-06	1.9	0.00041951	7.40E-06	1.9
680	0.00041752	5.50E-06	2	0.00041828	5.95E-06	1.9	0.0004168	7.36E-06	1.9
690	0.00041482	5.54E-06	2	0.00041557	5.97E-06	1.9	0.00041411	7.33E-06	1.9
700	0.00041213	5.58E-06	2	0.00041287	5.99E-06	1.9	0.00041144	7.30E-06	1.9
710	0.00040947	5.61E-06	2	0.00041019	6.00E-06	1.9	0.00040878	7.27E-06	1.9
720	0.00040682	5.64E-06	2	0.00040753	6.02E-06	1.9	0.00040614	7.24E-06	1.9
730	0.00040418	5.67E-06	2	0.00040488	6.04E-06	1.9	0.00040352	7.21E-06	1.9
740	0.00040157	5.70E-06	2	0.00040225	6.05E-06	1.9	0.00040092	7.18E-06	1.9
750	0.00039897	5.73E-06	2	0.00039964	6.07E-06	1.9	0.00039833	7.16E-06	1.9
760	0.00039639	5.75E-06	2	0.00039705	6.08E-06	1.9	0.00039576	7.13E-06	1.9
770	0.00039382	5.78E-06	2	0.00039447	6.09E-06	2	0.00039321	7.10E-06	1.9
780	0.00039128	5.80E-06	2	0.00039191	6.10E-06	2	0.00039067	7.07E-06	1.9
790	0.00038874	5.82E-06	2	0.00038936	6.11E-06	2	0.00038815	7.05E-06	1.9
800	0.00038623	5.84E-06	2	0.00038684	6.12E-06	2	0.00038564	7.02E-06	1.9
810	0.00038373	5.86E-06	2	0.00038432	6.13E-06	2	0.00038315	6.99E-06	1.9
820	0.00038125	5.88E-06	2	0.00038183	6.14E-06	2	0.00038068	6.96E-06	1.9
830	0.00037878	5.90E-06	2	0.00037935	6.14E-06	2	0.00037822	6.94E-06	1.9
840	0.00037633	5.91E-06	2	0.00037689	6.15E-06	2	0.00037578	6.91E-06	1.9
850	0.0003739	5.92E-06	2	0.00037444	6.15E-06	2	0.00037336	6.88E-06	1.9
860	0.00037148	5.94E-06	2	0.00037201	6.15E-06	2	0.00037095	6.86E-06	1.9
870	0.00036907	5.95E-06	2	0.00036959	6.16E-06	2	0.00036856	6.83E-06	2
880	0.00036668	5.96E-06	2	0.0003672	6.16E-06	2	0.00036618	6.80E-06	1.9
890	0.00036431	5.96E-06	2	0.00036481	6.16E-06	2	0.00036381	6.77E-06	1.9
900	0.00036195	5.97E-06	2	0.00036244	6.16E-06	2	0.00036147	6.75E-06	1.9
910	0.00035961	5.98E-06	2	0.00036009	6.15E-06	2	0.00035913	6.72E-06	2
920	0.00035729	5.98E-06	2	0.00035775	6.15E-06	2	0.00035682	6.69E-06	2
930	0.00035497	5.98E-06	2	0.00035543	6.15E-06	2	0.00035451	6.66E-06	2
940	0.00035268	5.98E-06	2	0.00035312	6.14E-06	2	0.00035222	6.64E-06	2
950	0.00035039	5.98E-06	2	0.00035083	6.13E-06	2	0.00034995	6.61E-06	2
960	0.00034813	5.98E-06	2	0.00034855	6.13E-06	2	0.00034769	6.58E-06	2
970	0.00034587	5.98E-06	2	0.00034629	6.12E-06	2	0.00034545	6.55E-06	2
980	0.00034364	5.98E-06	2	0.00034404	6.11E-06	2	0.00034322	6.52E-06	2
990	0.00034141	5.98E-06	2	0.00034181	6.10E-06	2	0.000341	6.49E-06	2
1000	0.0003392	5.97E-06	2	0.00033959	6.09E-06	2	0.0003388	6.46E-06	2
1010	0.00033701	5.96E-06	2	0.00033738	6.08E-06	2	0.00033662	6.43E-06	2
1020	0.00033483	5.96E-06	2	0.00033519	6.07E-06	2	0.00033444	6.41E-06	2
1030	0.00033266	5.95E-06	2	0.00033302	6.06E-06	2	0.00033229	6.38E-06	2
1040	0.00033051	5.94E-06	2	0.00033085	6.04E-06	2	0.00033014	6.35E-06	2
1050	0.00032837	5.93E-06	2	0.0003287	6.03E-06	2	0.00032801	6.32E-06	2
1060	0.00032624	5.92E-06	2	0.00032657	6.01E-06	2	0.00032589	6.29E-06	2
1070	0.00032413	5.91E-06	2	0.00032445	6.00E-06	2	0.00032379	6.26E-06	2
