1410;2.42e-17;3.23e-17;1.8
1420;5.04e-17;6.74e-17;1.8
1430;1.05e-16;1.4e-16;1.8
1440;2.16e-16;2.88e-16;1.8
1450;4.43e-16;5.93e-16;1.8
1460;9.06e-16;1.21e-15;1.8
1470;1.84e-15;2.46e-15;1.8
1480;3.73e-15;4.99e-15;1.8
1490;7.51e-15;1e-14;1.8
1500;1.51e-14;2.01e-14;1.8
1510;3.01e-14;4.02e-14;1.8
1520;5.97e-14;7.99e-14;1.8
1530;1.18e-13;1.58e-13;1.8
1540;2.33e-13;3.11e-13;1.8
1550;4.56e-13;6.1e-13;1.8
1560;8.9e-13;1.19e-12;1.8
1570;1.73e-12;2.31e-12;1.8
1580;3.35e-12;4.48e-12;1.8
1590;6.46e-12;8.63e-12;1.8
1600;1.24e-11;1.66e-11;1.8
1610;2.37e-11;3.17e-11;1.8
1620;4.51e-11;6.03e-11;1.8
1630;8.56e-11;1.14e-10;1.8
1640;1.62e-10;2.16e-10;1.8
1650;3.04e-10;4.07e-10;1.8
1660;5.7e-10;7.62e-10;1.8
1670;1.07e-09;1.42e-09;1.8
1680;1.98e-09;2.65e-09;1.8
1690;3.67e-09;4.91e-09;1.8
1700;6.79e-09;9.07e-09;1.8
1710;1.25e-08;1.67e-08;1.8
1720;2.29e-08;3.06e-08;1.8
1730;4.19e-08;5.59e-08;1.8
1740;7.62e-08;1.02e-07;1.8
1750;1.38e-07;1.85e-07;1.8
1760;2.5e-07;3.34e-07;1.8
1770;4.51e-07;6.03e-07;1.8
1780;8.1e-07;1.08e-06;1.8
1790;1.45e-06;1.94e-06;1.8
1800;2.59e-06;3.46e-06;1.8
1810;4.61e-06;6.16e-06;1.8
1820;8.17e-06;1.09e-05;1.8
1830;1.44e-05;1.93e-05;1.8
1840;2.54e-05;3.4e-05;1.8
1850;4.47e-05;5.96e-05;1.8
1860;7.81e-05;0.000104;1.8
1870;0.000136;0.000181;1.8
1880;0.000236;0.000313;1.8
1890;0.000406;0.000536;1.8
1900;0.000692;0.000907;1.8
1910;0.00116;0.00151;1.8
1920;0.00192;0.00242;1.8
1930;0.00305;0.0037;1.7
1940;0.00461;0.00523;1.6
1950;0.00646;0.00654;1.5
1960;0.00816;0.006983;1.4
1970;0.00916;0.006565;1.4
1980;0.0094;0.006269;1.4
1990;0.00928;0.006376;1.5
2000;0.00902;0.006638;1.5
