dResistorFixed dResistorFixed+ dResistorFixed- dResistorVariable dResistorVariable+ dResistorVariable- dIntegratedCircuit dIntegratedCircuit+ dIntegratedCircuit- 
snumbered 
p1
Variables
-8e-006 0.004804 -0.004836 0.16696 0.33818 0.32966 0.16636 0.33688 0.32856 
-8e-006 0.004844 -0.004876 0.16696 0.3382 0.32964 0.16636 0.3369 0.32854 
-8e-006 0.004864 -0.004896 0.16695 0.3382 0.3296 0.16637 0.33694 0.32854 
-8e-006 0.004884 -0.004916 0.16695 0.33822 0.32958 0.16637 0.33698 0.3285 
-8e-006 0.004904 -0.004936 0.16695 0.33824 0.32956 0.16637 0.337 0.32848 
-4e-006 0.004952 -0.004968 0.16695 0.33826 0.32954 0.16638 0.33704 0.32848 
-4e-006 0.004972 -0.004988 0.16695 0.3383 0.3295 0.16638 0.33706 0.32846 
-4e-006 0.004992 -0.005008 0.16694 0.3383 0.32946 0.16638 0.3371 0.32842 
-4e-006 0.005012 -0.005028 0.16694 0.33832 0.32944 0.16639 0.33714 0.32842 
-4e-006 0.005052 -0.005068 0.16694 0.33834 0.32942 0.16639 0.33716 0.3284 
-4e-006 0.005072 -0.005088 0.16693 0.33834 0.32938 0.16639 0.33718 0.32838 
-4e-006 0.004992 -0.005008 0.16693 0.33828 0.32944 0.1664 0.33712 0.32848 
-4e-006 0.005012 -0.005028 0.16693 0.3383 0.32942 0.1664 0.33714 0.32846 
-4e-006 0.005052 -0.005068 0.16692 0.3383 0.32938 0.1664 0.33716 0.32844 
-4e-006 0.005072 -0.005088 0.16692 0.33832 0.32936 0.1664 0.33718 0.32842 
-4e-006 0.005092 -0.005108 0.16692 0.33834 0.32934 0.16641 0.33724 0.3284 
-4e-006 0.005112 -0.005128 0.16691 0.33834 0.3293 0.16641 0.33726 0.32838 
-4e-006 0.005132 -0.005148 0.16691 0.33836 0.32928 0.16641 0.33728 0.32836 
-4e-006 0.005152 -0.005168 0.16691 0.33838 0.32926 0.16642 0.33732 0.32836 
-4e-006 0.005172 -0.005188 0.1669 0.33838 0.32922 0.16642 0.33734 0.32834 
-4e-006 0.005212 -0.005228 0.1669 0.3384 0.3292 0.16643 0.33738 0.32834 
-4e-006 0.005092 -0.005108 0.1669 0.33828 0.32932 0.16643 0.33728 0.32844 
-4e-006 0.005252 -0.005268 0.16689 0.33842 0.32914 0.16643 0.33742 0.3283 
-4e-006 0.005272 -0.005288 0.16689 0.33844 0.32912 0.16643 0.33744 0.32828 
-4e-006 0.005292 -0.005308 0.16689 0.33846 0.3291 0.16644 0.33748 0.32828 
-4e-006 0.005172 -0.005188 0.16689 0.33832 0.32924 0.16644 0.33738 0.32838 
-4e-006 0.005192 -0.005208 0.16688 0.33832 0.3292 0.16645 0.33742 0.32838 
-4e-006 0.005212 -0.005228 0.16688 0.33834 0.32918 0.16645 0.33744 0.32836 
-4e-006 0.005232 -0.005248 0.16688 0.33836 0.32916 0.16645 0.33746 0.32834 
-4e-006 0.005252 -0.005268 0.16687 0.33834 0.32914 0.16645 0.33748 0.32832 
-4e-006 0.005272 -0.005288 0.16687 0.33836 0.32912 0.16646 0.33752 0.32832 
-4e-006 0.005292 -0.005308 0.16687 0.33838 0.3291 0.16646 0.33752 0.32832 
-4e-006 0.005292 -0.005308 0.16686 0.33838 0.32906 0.16646 0.33754 0.3283 
-4e-006 0.005332 -0.005348 0.16686 0.3384 0.32904 0.16647 0.33758 0.3283 
-4e-006 0.005332 -0.005348 0.16686 0.3384 0.32904 0.16647 0.3376 0.32828 
-4e-006 0.005352 -0.005368 0.16685 0.3384 0.329 0.16648 0.33764 0.32828 
-4e-006 0.005372 -0.005388 0.16685 0.33842 0.32898 0.16648 0.33766 0.32826 
-5e-006 0.00539 -0.00541 0.16685 0.33844 0.32896 0.16648 0.33766 0.32826 
-5e-006 0.00541 -0.00543 0.16684 0.33842 0.32894 0.16648 0.33768 0.32824 
-5e-006 0.00543 -0.00545 0.16684 0.33844 0.32892 0.16649 0.33772 0.32824 
-5e-006 0.00543 -0.00545 0.16684 0.33846 0.3289 0.16649 0.33772 0.32824 
-5e-006 0.00545 -0.00547 0.16683 0.33844 0.32888 0.16649 0.33774 0.32822 
-5e-006 0.00547 -0.00549 0.16683 0.33846 0.32886 0.1665 0.33778 0.32822 
-5e-006 0.00547 -0.00549 0.16683 0.33846 0.32886 0.1665 0.33778 0.32822 
-5e-006 0.00549 -0.00551 0.16682 0.33846 0.32882 0.1665 0.3378 0.3282 
-5e-006 0.00551 -0.00553 0.16682 0.33846 0.32882 0.16651 0.33784 0.3282 
-5e-006 0.00551 -0.00553 0.16681 0.33846 0.32878 0.16651 0.33784 0.3282 
-5e-006 0.00553 -0.00555 0.16681 0.33848 0.32876 0.16651 0.33786 0.32818 
-5e-006 0.00555 -0.00557 0.16681 0.33848 0.32876 0.16651 0.33786 0.32818 
-5e-006 0.00555 -0.00557 0.16681 0.3385 0.32874 0.16652 0.3379 0.32818 
-5e-006 0.00557 -0.00559 0.1668 0.33848 0.32872 0.16652 0.33792 0.32816 
-5e-006 0.00559 -0.00561 0.1668 0.3385 0.3287 0.16653 0.33794 0.32818 
-5e-006 0.00559 -0.00561 0.1668 0.3385 0.3287 0.16653 0.33794 0.32818 
-5e-006 0.00561 -0.00563 0.16679 0.3385 0.32866 0.16653 0.33796 0.32816 
-5e-006 0.00561 -0.00563 0.16679 0.3385 0.32866 0.16654 0.33798 0.32818 
-5e-006 0.00563 -0.00565 0.16679 0.3385 0.32866 0.16654 0.338 0.32816 
-5e-006 0.00563 -0.00565 0.16678 0.3385 0.32862 0.16654 0.338 0.32816 
-5e-006 0.00563 -0.00565 0.16678 0.3385 0.32862 0.16655 0.33804 0.32816 
-5e-006 0.00565 -0.00567 0.16678 0.33852 0.3286 0.16655 0.33804 0.32816 
-5e-006 0.00565 -0.00567 0.16677 0.3385 0.32858 0.16655 0.33804 0.32816 
-5e-006 0.00565 -0.00567 0.16677 0.3385 0.32858 0.16655 0.33806 0.32814 
-5e-006 0.00567 -0.00569 0.16677 0.3385 0.32858 0.16656 0.33808 0.32816 
-5e-006 0.00567 -0.00569 0.16676 0.3385 0.32854 0.16656 0.33808 0.32816 
-5e-006 0.00569 -0.00571 0.16676 0.3385 0.32854 0.16656 0.3381 0.32814 
-5e-006 0.00569 -0.00571 0.16676 0.3385 0.32854 0.16657 0.33812 0.32816 
-5e-006 0.00569 -0.00571 0.16675 0.33848 0.32852 0.16657 0.33812 0.32816 
-5e-006 0.00571 -0.00573 0.16675 0.3385 0.3285 0.16657 0.33814 0.32814 
-5e-006 0.00571 -0.00573 0.16675 0.3385 0.3285 0.16658 0.33816 0.32816 
-5e-006 0.00571 -0.00573 0.16675 0.3385 0.3285 0.16658 0.33816 0.32816 
-5e-006 0.00573 -0.00575 0.16674 0.33848 0.32848 0.16659 0.33818 0.32818 
-5e-006 0.00573 -0.00575 0.16674 0.3385 0.32846 0.16659 0.3382 0.32816 
-5e-006 0.00573 -0.00575 0.16673 0.33848 0.32844 0.16659 0.3382 0.32816 
-5e-006 0.00573 -0.00575 0.16673 0.33848 0.32844 0.16659 0.3382 0.32816 
-5e-006 0.00573 -0.00575 0.16673 0.33848 0.32844 0.1666 0.33822 0.32818 
-5e-006 0.00573 -0.00575 0.16672 0.33846 0.32842 0.1666 0.33822 0.32818 
-5e-006 0.00575 -0.00577 0.16672 0.33846 0.32842 0.1666 0.33822 0.32818 
-5e-006 0.00575 -0.00577 0.16672 0.33848 0.3284 0.16661 0.33824 0.3282 
-5e-006 0.00575 -0.00577 0.16671 0.33846 0.32838 0.16661 0.33826 0.32818 
0.6 11.4863 -11.4757 0.7 11.0735 -11.0605 0.7 9.2984 -9.2856 
-0.1 5.9184 -5.9216 -0.06 5.759 -5.761 0.2 4.4832 -4.4768 
-1.1 1.4772 -1.4785 -1 1.429 -1.4302 -0.53 1.127 -1.1276 
-0.096 0.96528 -0.98832 -0.015 0.9186 -0.9222 0.183 0.76956 -0.72564 
-0.062 0.6513 -0.8125 0.06 0.7345 -0.5785 0.17 0.7995 -0.3575 
-0.046 0.5339 -0.7087 0.122 0.779 -0.3154 0.135 0.7885 -0.2755 
-0.043 0.5187 -0.6821 0.156 0.8075 -0.2147 0.107 0.7372 -0.3306 
-0.032 0.4427 -0.5643 0.169 0.792 -0.116 0.111 0.692 -0.248 
